"DateTime","Amyotrophic lateral sclerosis[en]","Amyotrophe Lateralsklerose[de]","Sclérose latérale amyotrophique[fr]","Ice Bucket Challenge[en]"
"2008-01-01 00:00:00",1198,547,202,0
"2008-01-02 00:00:00",1803,976,277,0
"2008-01-03 00:00:00",2414,837,313,0
"2008-01-04 00:00:00",2037,744,279,0
"2008-01-05 00:00:00",1560,558,207,0
"2008-01-06 00:00:00",1722,730,242,0
"2008-01-07 00:00:00",2385,987,344,0
"2008-01-08 00:00:00",2413,1052,340,0
"2008-01-09 00:00:00",2508,1011,304,0
"2008-01-10 00:00:00",2292,1071,335,0
"2008-01-11 00:00:00",2073,984,469,0
"2008-01-12 00:00:00",1706,756,336,0
"2008-01-13 00:00:00",1765,794,234,0
"2008-01-14 00:00:00",2304,1079,392,0
"2008-01-15 00:00:00",2382,894,223,0
"2008-01-16 00:00:00",2330,1012,272,0
"2008-01-17 00:00:00",2348,1703,363,0
"2008-01-18 00:00:00",2251,1007,336,0
"2008-01-19 00:00:00",1510,715,183,0
"2008-01-20 00:00:00",1859,772,317,0
"2008-01-21 00:00:00",2056,1171,377,0
"2008-01-22 00:00:00",2334,1160,370,0
"2008-01-23 00:00:00",2628,1159,257,0
"2008-01-24 00:00:00",2272,1131,284,0
"2008-01-25 00:00:00",2336,1006,231,0
"2008-01-26 00:00:00",1622,743,240,0
"2008-01-27 00:00:00",1848,833,173,0
"2008-01-28 00:00:00",2836,1046,280,0
"2008-01-29 00:00:00",2375,1040,266,0
"2008-01-30 00:00:00",2418,1016,225,0
"2008-01-31 00:00:00",2364,824,266,0
"2008-02-01 00:00:00",2177,974,279,0
"2008-02-02 00:00:00",1880,12504,185,0
"2008-02-03 00:00:00",1960,6592,190,0
"2008-02-04 00:00:00",2436,13160,249,0
"2008-02-05 00:00:00",3452,5025,279,0
"2008-02-06 00:00:00",2675,2711,278,0
"2008-02-07 00:00:00",2367,1763,350,0
"2008-02-08 00:00:00",2407,1620,294,0
"2008-02-09 00:00:00",2016,1790,261,0
"2008-02-10 00:00:00",2190,1547,256,0
"2008-02-11 00:00:00",2689,1966,255,0
"2008-02-12 00:00:00",2424,1404,330,0
"2008-02-13 00:00:00",2758,1386,305,0
"2008-02-14 00:00:00",2308,1252,270,0
"2008-02-15 00:00:00",2195,1280,319,0
"2008-02-16 00:00:00",1954,879,259,0
"2008-02-17 00:00:00",1865,911,192,0
"2008-02-18 00:00:00",2331,1283,348,0
"2008-02-19 00:00:00",2633,1992,366,0
"2008-02-20 00:00:00",2743,1636,317,0
"2008-02-21 00:00:00",2721,1254,375,0
"2008-02-22 00:00:00",2908,1166,316,0
"2008-02-23 00:00:00",1906,792,221,0
"2008-02-24 00:00:00",2190,1089,235,0
"2008-02-25 00:00:00",3098,1319,311,0
"2008-02-26 00:00:00",3283,1324,304,0
"2008-02-27 00:00:00",3516,1220,314,0
"2008-02-28 00:00:00",3440,1161,364,0
"2008-02-29 00:00:00",2834,1134,314,0
"2008-03-01 00:00:00",2405,898,248,0
"2008-03-02 00:00:00",2739,960,284,0
"2008-03-03 00:00:00",1693,648,208,0
"2008-03-04 00:00:00",1454,630,116,0
"2008-03-05 00:00:00",2967,1022,329,0
"2008-03-06 00:00:00",3108,1136,357,0
"2008-03-07 00:00:00",2667,987,277,0
"2008-03-08 00:00:00",2263,727,238,0
"2008-03-09 00:00:00",2454,876,238,0
"2008-03-10 00:00:00",4168,1052,314,0
"2008-03-11 00:00:00",3389,1027,298,0
"2008-03-12 00:00:00",3963,1136,389,0
"2008-03-13 00:00:00",3345,1095,383,0
"2008-03-14 00:00:00",2704,880,330,0
"2008-03-15 00:00:00",2113,894,249,0
"2008-03-16 00:00:00",2040,781,276,0
"2008-03-17 00:00:00",2786,1063,334,0
"2008-03-18 00:00:00",2773,1110,366,0
"2008-03-19 00:00:00",2727,1150,304,0
"2008-03-20 00:00:00",2430,937,482,0
"2008-03-21 00:00:00",1987,770,345,0
"2008-03-22 00:00:00",1921,667,230,0
"2008-03-23 00:00:00",1832,795,173,0
"2008-03-24 00:00:00",2662,953,279,0
"2008-03-25 00:00:00",3249,1303,402,0
"2008-03-26 00:00:00",2810,1125,377,0
"2008-03-27 00:00:00",2776,1052,377,0
"2008-03-28 00:00:00",2494,887,368,0
"2008-03-29 00:00:00",2027,609,239,0
"2008-03-30 00:00:00",2611,813,264,0
"2008-03-31 00:00:00",3963,1124,432,0
"2008-04-01 00:00:00",3458,1062,366,0
"2008-04-02 00:00:00",2868,1216,357,0
"2008-04-03 00:00:00",2864,1437,373,0
"2008-04-04 00:00:00",2558,1186,308,0
"2008-04-05 00:00:00",2068,778,211,0
"2008-04-06 00:00:00",2910,1229,258,0
"2008-04-07 00:00:00",3742,1443,193,0
"2008-04-08 00:00:00",3310,1322,160,0
"2008-04-09 00:00:00",3133,1248,99,0
"2008-04-10 00:00:00",2853,1358,196,0
"2008-04-11 00:00:00",2663,1387,142,0
"2008-04-12 00:00:00",2187,884,119,0
"2008-04-13 00:00:00",2399,969,222,0
